CookerStat, GenerateAssetRegistry=0.020169, Initialize=0.103954, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionIdA3E1AE1E4DCEF0542572918ED31867AC_5, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_B58C72084C093ADFE__3DA57C8E99FF8D7A748BB2D0C3E822E73A724669, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=1.028650, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId0F92EA674C43398A11C66EAA66E059A2_5, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_DD0AAE6541D18B1A5__C892F4334BCF274716AF90C67D30F5CDC8D763B4, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=785, Duration=0.880633, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId364493D14B35349DBB376A82BC768070_5, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_155A18DE4AFBFCD2C__90DB57049CFA7E3AEECDE9A77195830347B574D8, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=0.951383, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionIdA3E1AE1E4DCEF0542572918ED31867AC_6, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_8C4B4956435110F2E__AD095489AE49C79048DBF11CFA1494985864C8F0, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=593, Duration=0.925630, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId0F92EA674C43398A11C66EAA66E059A2_6, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_6CA90B4F4871706C5__6FE0406200CAE495A59C0C87D90AA167415CC1B9, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=1.023375, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId364493D14B35349DBB376A82BC768070_6, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_863CD7A34B1D1AC8C__8666B7E46BDB4B14AFB904418740675BDDEC6EAB, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=785, Duration=1.145322, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionIdA3E1AE1E4DCEF0542572918ED31867AC_7, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_B624C5B94711AB832__55A3C27EB3A6BFB6EC81308B4660BBAF9AE92CB3, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=22.888437, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId0F92EA674C43398A11C66EAA66E059A2_7, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_EDF3CF844F8EA4934__1A42D0D50A5DD6756A5E1949387CF0C549A82166, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=2.217412, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId364493D14B35349DBB376A82BC768070_7, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_E2CD71C64304265D6__6AD9150306F36688D8720AEC0102D7A9B20A39B4, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=593, Duration=0.936799, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionIdA3E1AE1E4DCEF0542572918ED31867AC_8, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_6A63FFE3464313CBE__17F02372C60FFC45DCB2FC9982081EF98F1477BE, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=1.004446, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId0F92EA674C43398A11C66EAA66E059A2_8, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_62A2040C44C2D76FC__476D752F1E35015D22C374AD38965F3936B4C8E9, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=593, Duration=0.997618, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId364493D14B35349DBB376A82BC768070_8, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_55E5DE754C5C3E699__B42913B25693BFFFD8FF51109DD2E123BC3624D0, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=0.946421, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionIdA3E1AE1E4DCEF0542572918ED31867AC_9, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_963E08EA4F36278E5__AE1CB5E5EED2F3B67A64BD763E2F8B5030DA53B4, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=0.969071, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
