CookerStat, GenerateAssetRegistry=0.019856, Initialize=0.106744, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7DC234004E32262DBD0BED993EBE87B0_4, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_C6C2705D4E5E6B18C__EC63575CA72578C629F973993FC44920CEBECC80, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=689, Duration=1.474552, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId828C41E24ED41395DDCC7EBDCBB9E79F_5, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_B61A6B6948E312C39__9A5E1CC976758226B066624CFC06D0C3749FF28B, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=1025, Duration=1.708828, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7D5D9AEF4B14EC5FFB78619D991694FC_6, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_1CB1322243B80FA53__16172A4AFEA2A615305D51DB620D978B9F78CA81, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=1169, Duration=1.473311, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7DC234004E32262DBD0BED993EBE87B0_5, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_29A1E4C64EC3B84D0__43B13EB374ED73D1F563C37E0E96558527AEFAEE, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=833, Duration=1.401320, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId828C41E24ED41395DDCC7EBDCBB9E79F_6, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_8828257049CB21C0B__2F0B3F4DC3802A04499EB5C94A25E273404B52A6, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=833, Duration=1.542196, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7D5D9AEF4B14EC5FFB78619D991694FC_7, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_422CCCE048BE717FC__8513FDEE0792782497075475F91701E623D752C5, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=2081, Duration=1.471762, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7DC234004E32262DBD0BED993EBE87B0_6, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_6FA9AB4C4B8C43C65__7EEF4F1020BC9D95ADB40E7681B2AF51D9B214FD, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=1841, Duration=1.382392, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId828C41E24ED41395DDCC7EBDCBB9E79F_7, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_D5C051094293436B8__CC81D37DE2D7A6463BADBEBF96D3B2F71C19147C, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=1937, Duration=1.406282, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7D5D9AEF4B14EC5FFB78619D991694FC_8, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_F929DBAC4021C0872__66B3BF3145B2B2218E3EC039501CC41515BDCF36, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=1553, Duration=1.557399, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7DC234004E32262DBD0BED993EBE87B0_7, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_FD783EDF4F7F585D1__44F4A725FD27CB78AD5798A0159AB33A9F2DC048, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=1841, Duration=1.458418, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId828C41E24ED41395DDCC7EBDCBB9E79F_8, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_05EA0CEF4A2574A46__9E82175F1E3095D78FC45DB6094B177D62E0BDDE, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=785, Duration=1.448486, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7D5D9AEF4B14EC5FFB78619D991694FC_9, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_9AA5DD3F481B1C993__1983204BCEAB3CB88F0840F31C234BEADFCC829D, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=785, Duration=1.747929, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7DC234004E32262DBD0BED993EBE87B0_8, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_D3CC8F904C8FC8192__25F7431025A4631163BCA333D71388A262F02C33, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=785, Duration=1.667246, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
